sigma,run,correlation,gini,top10_overlap
0.1,0,0.32804954698595806,0.8019449588405979,0.63
0.1,1,0.4879088430956473,0.7897455941243294,0.625
0.1,2,0.4770230515429013,0.8132859357469207,0.675
0.1,3,0.39057505812177673,0.8006188251358131,0.605
0.1,4,0.4614418493011707,0.7977092686526307,0.585
0.1,5,0.35511974007209024,0.8063907203814267,0.62
0.1,6,0.5930980557163469,0.7683185941062739,0.6
0.1,7,0.5160772923896625,0.793258378592229,0.605
0.1,8,0.38239715156217124,0.7889216507294354,0.605
0.1,9,0.5441173679906428,0.7792150354539283,0.62
0.1,10,0.47431576437965145,0.8004712759457289,0.67
0.1,11,0.350840863269776,0.793226937539958,0.65
0.1,12,0.5162390090489494,0.794065046976114,0.625
0.1,13,0.4797704026523283,0.794888706841777,0.675
0.1,14,0.5052348911481931,0.792550293679556,0.595
0.1,15,0.5981718399945316,0.7729310633412123,0.59
0.1,16,0.5700870321936874,0.7850379044442619,0.59
0.1,17,0.5237457470177909,0.7927635255353181,0.605
0.1,18,0.3984710109702814,0.8041818738180169,0.655
0.1,19,0.3399350699778854,0.8083471762005909,0.61
0.1,20,0.37302318812490104,0.810947643260765,0.63
0.1,21,0.538780464193286,0.7774184490324847,0.605
0.1,22,0.5064870602165524,0.7831197239243353,0.59
0.1,23,0.46475170723622167,0.7962821675250661,0.615
0.1,24,0.4950047004883217,0.7872466905440716,0.58
0.1,25,0.5171149529074098,0.7883784564443082,0.61
0.1,26,0.392562763979782,0.7930432114000339,0.6
0.1,27,0.5121185848815337,0.7813690699835592,0.585
0.1,28,0.4308992088062093,0.7841003777429392,0.595
0.1,29,0.45256356742415227,0.7979069716405378,0.565
0.1,30,0.4774123304873962,0.8052538537087278,0.65
0.1,31,0.45478910466826955,0.7984478758817235,0.585
0.1,32,0.45447857126122143,0.7912353195092888,0.63
0.1,33,0.5657007151106417,0.7892337967080798,0.595
0.1,34,0.5232357934161134,0.7985205598851766,0.63
0.1,35,0.5667874569945407,0.7915955625493353,0.63
0.1,36,0.4295213741891766,0.7983323591668959,0.61
0.1,37,0.43975869107539295,0.7968197498136891,0.61
0.1,38,0.5524354373123542,0.794714558644567,0.61
0.1,39,0.3940643515591058,0.7897494568896769,0.61
0.1,40,0.5200782041703803,0.7868771155077853,0.61
0.1,41,0.47053448585371715,0.7953287780241716,0.585
0.1,42,0.33854761834140196,0.8263459685725879,0.62
0.1,43,0.5415257102926441,0.7898060468030788,0.625
0.1,44,0.6076195292799773,0.7914408419458638,0.625
0.1,45,0.45560598394038626,0.7939077639931875,0.59
0.1,46,0.486199466165237,0.7918511320271995,0.585
0.1,47,0.5718165684173351,0.778385866605526,0.58
0.1,48,0.5661702628278853,0.7775536528785779,0.605
0.1,49,0.4698314107231266,0.7947021055740505,0.58
0.25,0,0.5238212690596992,0.7803324875291902,0.64
0.25,1,0.5457578246179254,0.7660658376265369,0.585
0.25,2,0.3742749454232237,0.7955457541154852,0.57
0.25,3,0.5158002052375917,0.7713133886927905,0.6
0.25,4,0.5297139185921469,0.7799444631142618,0.63
0.25,5,0.4268211178489534,0.7819847274592243,0.62
