sigma,run,correlation,gini,top10_overlap
0.1,0,0.7960750629755751,0.7220014184793082,0.72
0.1,1,0.790494101999873,0.7271406744092687,0.72
0.1,2,0.8042699891114645,0.7162647638139091,0.75
0.1,3,0.7930014305224108,0.7283130629442689,0.67
0.1,4,0.7829343278673129,0.7347699235262509,0.715
0.1,5,0.7932055671535129,0.7242462964615013,0.7
0.1,6,0.7928007213938796,0.7247335987521691,0.735
0.1,7,0.7834131301111782,0.7291467135838815,0.705
0.1,8,0.7941797877081491,0.7340368112351803,0.73
0.1,9,0.7827892443651071,0.7342041900699927,0.735
0.1,10,0.7761313370746042,0.7336640412340073,0.75
0.1,11,0.7955615771822894,0.7133161804955013,0.725
0.1,12,0.7941818269936076,0.7256647827376177,0.72
0.1,13,0.7877994498855003,0.7338467823930436,0.765
0.1,14,0.7992556929925014,0.729973014253714,0.75
0.1,15,0.7813674875099575,0.7400459620903345,0.73
0.1,16,0.7837153023231352,0.7249501386516847,0.75
0.1,17,0.7746329971968005,0.7434814867052744,0.74
0.1,18,0.7920803689939896,0.7273193677784859,0.75
0.1,19,0.795558866086364,0.7380066134542722,0.755
0.1,20,0.7860704020194278,0.7246344359616901,0.705
0.1,21,0.7763833059333962,0.7559886174552263,0.765
0.1,22,0.792368849795668,0.7222414286249345,0.725
0.1,23,0.7944955890367957,0.7331172766552532,0.765
0.1,24,0.7849627161916386,0.7274291148213349,0.735
0.1,25,0.7917158360838364,0.7311714625005978,0.735
0.1,26,0.7896494606752281,0.7337143110146298,0.725
0.1,27,0.7899987197242778,0.7343802295786568,0.765
0.1,28,0.7852418871218235,0.7389786770877915,0.74
0.1,29,0.790976073189852,0.7220622355109235,0.745
0.1,30,0.7847735251068605,0.7278248277898608,0.72
0.1,31,0.78730728151739,0.7402993518146198,0.755
0.1,32,0.7832451570695235,0.726585451836402,0.715
0.1,33,0.7830689646613669,0.7467204670582915,0.775
0.1,34,0.7860389496432304,0.7293202352424903,0.71
0.1,35,0.793210895205423,0.7157416346166612,0.705
0.1,36,0.7888245206029251,0.7273578827794095,0.72
0.1,37,0.7856953866210301,0.7272197973210957,0.715
0.1,38,0.7950918780231273,0.7238729313486248,0.765
0.1,39,0.7925706011320692,0.7308678139284246,0.715
0.1,40,0.784384724660559,0.7362321582204904,0.735
0.1,41,0.7869699660792794,0.7509135065366758,0.76
0.1,42,0.7924774430925488,0.7278638856315188,0.76
0.1,43,0.7802209653026406,0.7369359682812494,0.745
0.1,44,0.7988812331932825,0.7204026310642073,0.73
0.1,45,0.7844045973606861,0.7327955983292044,0.74
0.1,46,0.7805593530082605,0.7304702517648007,0.775
0.1,47,0.7850759240201733,0.7443330180907775,0.705
0.1,48,0.7949453181779975,0.7261273287450217,0.715
0.1,49,0.7985382891281472,0.7383678298144183,0.76
0.25,0,0.7984314287592219,0.7269005623718482,0.765
